fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 45
0 0 1 1 40
0 0 2 1 41
0 0 3 1 16
0 1 0 1 9
0 1 1 1 37
0 1 2 1 34
0 1 3 1 7
0 2 0 1 10
0 2 1 1 38
0 2 2 1 47
0 2 3 1 35
0 3 0 1 8
0 3 1 1 31
0 3 2 1 56
0 3 3 1 0
1 0 0 1 29
1 0 1 1 44
1 0 2 1 58
1 0 3 1 32
1 1 0 1 26
1 1 1 1 42
1 1 2 1 54
1 1 3 1 49
1 2 0 1 12
1 2 1 1 57
1 2 2 1 62
1 2 3 1 19
1 3 0 1 5
1 3 1 1 6
1 3 2 1 52
1 3 3 1 51
2 0 0 1 25
2 0 1 1 28
2 0 2 1 39
2 0 3 1 1
2 1 0 1 13
2 1 1 1 36
2 1 2 1 53
2 1 3 1 50
2 2 0 1 14
2 2 1 1 46
2 2 2 1 59
2 2 3 1 15
2 3 0 1 4
2 3 1 1 43
2 3 2 1 60
2 3 3 1 63
3 0 0 1 24
3 0 1 1 20
3 0 2 1 18
3 0 3 1 2
3 1 0 1 30
3 1 1 1 17
3 1 2 1 33
3 1 3 1 55
3 2 0 1 21
3 2 1 1 27
3 2 2 1 61
3 2 3 1 48
3 3 0 1 22
3 3 1 1 23
3 3 2 1 11
3 3 3 1 3
