recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 57
0 0 1 1 25
0 0 2 1 1
0 0 3 1 31
0 1 0 1 41
0 1 1 1 59
0 1 2 1 14
0 1 3 1 45
0 2 0 1 19
0 2 1 1 55
0 2 2 1 35
0 2 3 1 48
0 3 0 1 39
0 3 1 1 20
0 3 2 1 8
0 3 3 1 13
1 0 0 1 61
1 0 1 1 36
1 0 2 1 46
1 0 3 1 47
1 1 0 1 56
1 1 1 1 24
1 1 2 1 9
1 1 3 1 43
1 2 0 1 33
1 2 1 1 18
1 2 2 1 11
1 2 3 1 30
1 3 0 1 29
1 3 1 1 38
1 3 2 1 5
1 3 3 1 40
2 0 0 1 62
2 0 1 1 23
2 0 2 1 28
2 0 3 1 51
2 1 0 1 32
2 1 1 1 63
2 1 2 1 42
2 1 3 1 49
2 2 0 1 22
2 2 1 1 54
2 2 2 1 4
2 2 3 1 6
2 3 0 1 16
2 3 1 1 37
2 3 2 1 7
2 3 3 1 0
3 0 0 1 53
3 0 1 1 60
3 0 2 1 10
3 0 3 1 15
3 1 0 1 34
3 1 1 1 58
3 1 2 1 12
3 1 3 1 26
3 2 0 1 21
3 2 1 1 50
3 2 2 1 2
3 2 3 1 44
3 3 0 1 17
3 3 1 1 52
3 3 2 1 27
3 3 3 1 3
