bokhari
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 1
0 0 2 1 51
0 0 3 1 3
0 1 0 1 4
0 1 1 1 5
0 1 2 1 6
0 1 3 1 7
0 2 0 1 8
0 2 1 1 9
0 2 2 1 10
0 2 3 1 11
0 3 0 1 12
0 3 1 1 13
0 3 2 1 14
0 3 3 1 60
1 0 0 1 16
1 0 1 1 17
1 0 2 1 25
1 0 3 1 19
1 1 0 1 20
1 1 1 1 21
1 1 2 1 22
1 1 3 1 23
1 2 0 1 24
1 2 1 1 18
1 2 2 1 34
1 2 3 1 27
1 3 0 1 28
1 3 1 1 29
1 3 2 1 30
1 3 3 1 31
2 0 0 1 32
2 0 1 1 33
2 0 2 1 26
2 0 3 1 35
2 1 0 1 36
2 1 1 1 37
2 1 2 1 38
2 1 3 1 39
2 2 0 1 40
2 2 1 1 41
2 2 2 1 42
2 2 3 1 43
2 3 0 1 44
2 3 1 1 45
2 3 2 1 46
2 3 3 1 47
3 0 0 1 48
3 0 1 1 49
3 0 2 1 50
3 0 3 1 2
3 1 0 1 52
3 1 1 1 53
3 1 2 1 54
3 1 3 1 55
3 2 0 1 56
3 2 1 1 57
3 2 2 1 58
3 2 3 1 59
3 3 0 1 15
3 3 1 1 61
3 3 2 1 62
3 3 3 1 63
