greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 40
0 0 1 1 28
0 0 2 1 61
0 0 3 1 51
0 1 0 1 37
0 1 1 1 24
0 1 2 1 53
0 1 3 1 49
0 2 0 1 17
0 2 1 1 9
0 2 2 1 54
0 2 3 1 50
0 3 0 1 31
0 3 1 1 12
0 3 2 1 62
0 3 3 1 35
1 0 0 1 44
1 0 1 1 45
1 0 2 1 56
1 0 3 1 0
1 1 0 1 21
1 1 1 1 41
1 1 2 1 34
1 1 3 1 16
1 2 0 1 4
1 2 1 1 26
1 2 2 1 58
1 2 3 1 1
1 3 0 1 38
1 3 1 1 10
1 3 2 1 23
1 3 3 1 55
2 0 0 1 29
2 0 1 1 42
2 0 2 1 52
2 0 3 1 63
2 1 0 1 30
2 1 1 1 20
2 1 2 1 33
2 1 3 1 32
2 2 0 1 5
2 2 1 1 14
2 2 2 1 18
2 2 3 1 2
2 3 0 1 46
2 3 1 1 22
2 3 2 1 39
2 3 3 1 7
3 0 0 1 25
3 0 1 1 57
3 0 2 1 60
3 0 3 1 3
3 1 0 1 13
3 1 1 1 36
3 1 2 1 11
3 1 3 1 48
3 2 0 1 8
3 2 1 1 6
3 2 2 1 59
3 2 3 1 15
3 3 0 1 27
3 3 1 1 43
3 3 2 1 47
3 3 3 1 19
