pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 20
0 0 1 1 37
0 0 2 1 36
0 0 3 1 41
0 1 0 1 16
0 1 1 1 33
0 1 2 1 24
0 1 3 1 42
0 2 0 1 40
0 2 1 1 32
0 2 2 1 53
0 2 3 1 57
0 3 0 1 44
0 3 1 1 52
0 3 2 1 28
0 3 3 1 45
1 0 0 1 0
1 0 1 1 21
1 0 2 1 25
1 0 3 1 38
1 1 0 1 4
1 1 1 1 1
1 1 2 1 9
1 1 3 1 26
1 2 0 1 8
1 2 1 1 50
1 2 2 1 54
1 2 3 1 58
1 3 0 1 56
1 3 1 1 13
1 3 2 1 29
1 3 3 1 30
2 0 0 1 17
2 0 1 1 22
2 0 2 1 18
2 0 3 1 23
2 1 0 1 5
2 1 1 1 2
2 1 2 1 6
2 1 3 1 10
2 2 0 1 48
2 2 1 1 49
2 2 2 1 35
2 2 3 1 55
2 3 0 1 60
2 3 1 1 61
2 3 2 1 62
2 3 3 1 46
3 0 0 1 3
3 0 1 1 34
3 0 2 1 39
3 0 3 1 27
3 1 0 1 51
3 1 1 1 19
3 1 2 1 7
3 1 3 1 43
3 2 0 1 12
3 2 1 1 11
3 2 2 1 31
3 2 3 1 59
3 3 0 1 63
3 3 1 1 15
3 3 2 1 14
3 3 3 1 47
