topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 5
0 0 2 1 44
0 0 3 1 52
0 1 0 1 24
0 1 1 1 25
0 1 2 1 12
0 1 3 1 60
0 2 0 1 13
0 2 1 1 10
0 2 2 1 15
0 2 3 1 61
0 3 0 1 14
0 3 1 1 29
0 3 2 1 47
0 3 3 1 63
1 0 0 1 4
1 0 1 1 20
1 0 2 1 40
1 0 3 1 56
1 1 0 1 9
1 1 1 1 6
1 1 2 1 28
1 1 3 1 57
1 2 0 1 8
1 2 1 1 41
1 2 2 1 31
1 2 3 1 45
1 3 0 1 30
1 3 1 1 27
1 3 2 1 46
1 3 3 1 62
2 0 0 1 21
2 0 1 1 16
2 0 2 1 36
2 0 3 1 48
2 1 0 1 22
2 1 1 1 18
2 1 2 1 7
2 1 3 1 53
2 2 0 1 26
2 2 1 1 33
2 2 2 1 11
2 2 3 1 50
2 3 0 1 38
2 3 1 1 39
2 3 2 1 54
2 3 3 1 59
3 0 0 1 17
3 0 1 1 1
3 0 2 1 32
3 0 3 1 3
3 1 0 1 2
3 1 1 1 37
3 1 2 1 19
3 1 3 1 49
3 2 0 1 23
3 2 1 1 34
3 2 2 1 35
3 2 3 1 51
3 3 0 1 42
3 3 1 1 43
3 3 2 1 58
3 3 3 1 55
