fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 45
0 0 1 1 40
0 0 2 1 41
0 0 3 1 22
0 1 0 1 8
0 1 1 1 13
0 1 2 1 28
0 1 3 1 6
0 2 0 1 37
0 2 1 1 12
0 2 2 1 26
0 2 3 1 57
0 3 0 1 54
0 3 1 1 17
0 3 2 1 27
0 3 3 1 0
1 0 0 1 24
1 0 1 1 29
1 0 2 1 44
1 0 3 1 5
1 1 0 1 42
1 1 1 1 10
1 1 2 1 9
1 1 3 1 58
1 2 0 1 38
1 2 1 1 36
1 2 2 1 4
1 2 3 1 46
1 3 0 1 49
1 3 1 1 61
1 3 2 1 47
1 3 3 1 34
2 0 0 1 30
2 0 1 1 21
2 0 2 1 25
2 0 3 1 62
2 1 0 1 33
2 1 1 1 31
2 1 2 1 19
2 1 3 1 32
2 2 0 1 59
2 2 1 1 16
2 2 2 1 53
2 2 3 1 23
2 3 0 1 50
2 3 1 1 35
2 3 2 1 51
2 3 3 1 3
3 0 0 1 20
3 0 1 1 14
3 0 2 1 39
3 0 3 1 56
3 1 0 1 43
3 1 1 1 18
3 1 2 1 52
3 1 3 1 11
3 2 0 1 1
3 2 1 1 55
3 2 2 1 7
3 2 3 1 60
3 3 0 1 15
3 3 1 1 48
3 3 2 1 63
3 3 3 1 2
