recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 46
0 0 1 1 28
0 0 2 1 61
0 0 3 1 53
0 1 0 1 45
0 1 1 1 10
0 1 2 1 60
0 1 3 1 59
0 2 0 1 47
0 2 1 1 51
0 2 2 1 24
0 2 3 1 23
0 3 0 1 43
0 3 1 1 49
0 3 2 1 32
0 3 3 1 41
1 0 0 1 1
1 0 1 1 15
1 0 2 1 57
1 0 3 1 62
1 1 0 1 31
1 1 1 1 26
1 1 2 1 25
1 1 3 1 58
1 2 0 1 9
1 2 1 1 14
1 2 2 1 63
1 2 3 1 36
1 3 0 1 42
1 3 1 1 12
1 3 2 1 34
1 3 3 1 56
2 0 0 1 48
2 0 1 1 11
2 0 2 1 55
2 0 3 1 33
2 1 0 1 4
2 1 1 1 2
2 1 2 1 22
2 1 3 1 21
2 2 0 1 40
2 2 1 1 8
2 2 2 1 38
2 2 3 1 39
2 3 0 1 7
2 3 1 1 0
2 3 2 1 16
2 3 3 1 37
3 0 0 1 44
3 0 1 1 35
3 0 2 1 50
3 0 3 1 19
3 1 0 1 3
3 1 1 1 13
3 1 2 1 52
3 1 3 1 20
3 2 0 1 30
3 2 1 1 6
3 2 2 1 18
3 2 3 1 54
3 3 0 1 5
3 3 1 1 27
3 3 2 1 29
3 3 3 1 17
