greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 44
0 0 1 1 40
0 0 2 1 41
0 0 3 1 53
0 1 0 1 62
0 1 1 1 20
0 1 2 1 52
0 1 3 1 49
0 2 0 1 63
0 2 1 1 16
0 2 2 1 48
0 2 3 1 61
0 3 0 1 22
0 3 1 1 17
0 3 2 1 35
0 3 3 1 37
1 0 0 1 45
1 0 1 1 4
1 0 2 1 51
1 0 3 1 3
1 1 0 1 57
1 1 1 1 0
1 1 2 1 6
1 1 3 1 56
1 2 0 1 54
1 2 1 1 31
1 2 2 1 36
1 2 3 1 11
1 3 0 1 23
1 3 1 1 12
1 3 2 1 32
1 3 3 1 26
2 0 0 1 42
2 0 1 1 5
2 0 2 1 50
2 0 3 1 8
2 1 0 1 59
2 1 1 1 2
2 1 2 1 13
2 1 3 1 55
2 2 0 1 38
2 2 1 1 30
2 2 2 1 1
2 2 3 1 19
2 3 0 1 46
2 3 1 1 29
2 3 2 1 24
2 3 3 1 27
3 0 0 1 43
3 0 1 1 10
3 0 2 1 34
3 0 3 1 18
3 1 0 1 58
3 1 1 1 9
3 1 2 1 60
3 1 3 1 33
3 2 0 1 39
3 2 1 1 14
3 2 2 1 15
3 2 3 1 25
3 3 0 1 47
3 3 1 1 28
3 3 2 1 21
3 3 3 1 7
