topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 18
0 0 2 1 35
0 0 3 1 51
0 1 0 1 16
0 1 1 1 33
0 1 2 1 49
0 1 3 1 50
0 2 0 1 36
0 2 1 1 32
0 2 2 1 53
0 2 3 1 59
0 3 0 1 56
0 3 1 1 52
0 3 2 1 48
0 3 3 1 62
1 0 0 1 4
1 0 1 1 1
1 0 2 1 19
1 0 3 1 55
1 1 0 1 20
1 1 1 1 21
1 1 2 1 34
1 1 3 1 54
1 2 0 1 24
1 2 1 1 37
1 2 2 1 38
1 2 3 1 58
1 3 0 1 40
1 3 1 1 41
1 3 2 1 57
1 3 3 1 60
2 0 0 1 5
2 0 1 1 2
2 0 2 1 7
2 0 3 1 63
2 1 0 1 17
2 1 1 1 22
2 1 2 1 23
2 1 3 1 39
2 2 0 1 8
2 2 1 1 26
2 2 2 1 42
2 2 3 1 43
2 3 0 1 12
2 3 1 1 45
2 3 2 1 44
2 3 3 1 61
3 0 0 1 9
3 0 1 1 6
3 0 2 1 11
3 0 3 1 3
3 1 0 1 25
3 1 1 1 10
3 1 2 1 27
3 1 3 1 15
3 2 0 1 29
3 2 1 1 13
3 2 2 1 14
3 2 3 1 31
3 3 0 1 28
3 3 1 1 30
3 3 2 1 46
3 3 3 1 47
