fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 45
0 0 1 1 40
0 0 2 1 41
0 0 3 1 12
0 1 0 1 6
0 1 1 1 10
0 1 2 1 22
0 1 3 1 37
0 2 0 1 58
0 2 1 1 39
0 2 2 1 56
0 2 3 1 11
0 3 0 1 34
0 3 1 1 14
0 3 2 1 18
0 3 3 1 33
1 0 0 1 24
1 0 1 1 29
1 0 2 1 44
1 0 3 1 5
1 1 0 1 57
1 1 1 1 51
1 1 2 1 9
1 1 3 1 61
1 2 0 1 3
1 2 1 1 52
1 2 2 1 46
1 2 3 1 23
1 3 0 1 54
1 3 1 1 53
1 3 2 1 4
1 3 3 1 62
2 0 0 1 30
2 0 1 1 21
2 0 2 1 25
2 0 3 1 59
2 1 0 1 20
2 1 1 1 31
2 1 2 1 15
2 1 3 1 16
2 2 0 1 43
2 2 1 1 63
2 2 2 1 0
2 2 3 1 35
2 3 0 1 55
2 3 1 1 48
2 3 2 1 47
2 3 3 1 1
3 0 0 1 8
3 0 1 1 13
3 0 2 1 28
3 0 3 1 26
3 1 0 1 42
3 1 1 1 36
3 1 2 1 19
3 1 3 1 49
3 2 0 1 2
3 2 1 1 32
3 2 2 1 7
3 2 3 1 60
3 3 0 1 38
3 3 1 1 17
3 3 2 1 27
3 3 3 1 50
