recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 46
0 0 1 1 1
0 0 2 1 35
0 0 3 1 48
0 1 0 1 42
0 1 1 1 14
0 1 2 1 7
0 1 3 1 0
0 2 0 1 43
0 2 1 1 51
0 2 2 1 40
0 2 3 1 8
0 3 0 1 28
0 3 1 1 15
0 3 2 1 2
0 3 3 1 4
1 0 0 1 18
1 0 1 1 29
1 0 2 1 38
1 0 3 1 16
1 1 0 1 25
1 1 1 1 57
1 1 2 1 32
1 1 3 1 41
1 2 0 1 58
1 2 1 1 62
1 2 2 1 24
1 2 3 1 23
1 3 0 1 33
1 3 1 1 55
1 3 2 1 22
1 3 3 1 52
2 0 0 1 37
2 0 1 1 54
2 0 2 1 17
2 0 3 1 39
2 1 0 1 61
2 1 1 1 60
2 1 2 1 34
2 1 3 1 56
2 2 0 1 53
2 2 1 1 59
2 2 2 1 63
2 2 3 1 36
2 3 0 1 19
2 3 1 1 50
2 3 2 1 20
2 3 3 1 21
3 0 0 1 45
3 0 1 1 31
3 0 2 1 44
3 0 3 1 11
3 1 0 1 12
3 1 1 1 9
3 1 2 1 5
3 1 3 1 27
3 2 0 1 49
3 2 1 1 47
3 2 2 1 30
3 2 3 1 6
3 3 0 1 10
3 3 1 1 26
3 3 2 1 13
3 3 3 1 3
