pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 18
0 0 2 1 33
0 0 3 1 38
0 1 0 1 1
0 1 1 1 21
0 1 2 1 37
0 1 3 1 34
0 2 0 1 4
0 2 1 1 20
0 2 2 1 36
0 2 3 1 53
0 3 0 1 3
0 3 1 1 48
0 3 2 1 32
0 3 3 1 49
1 0 0 1 5
1 0 1 1 22
1 0 2 1 41
1 0 3 1 42
1 1 0 1 2
1 1 1 1 6
1 1 2 1 25
1 1 3 1 23
1 2 0 1 0
1 2 1 1 16
1 2 2 1 24
1 2 3 1 35
1 3 0 1 51
1 3 1 1 8
1 3 2 1 40
1 3 3 1 52
2 0 0 1 31
2 0 1 1 10
2 0 2 1 39
2 0 3 1 27
2 1 0 1 7
2 1 1 1 9
2 1 2 1 26
2 1 3 1 19
2 2 0 1 14
2 2 1 1 29
2 2 2 1 50
2 2 3 1 55
2 3 0 1 12
2 3 1 1 13
2 3 2 1 28
2 3 3 1 44
3 0 0 1 15
3 0 1 1 46
3 0 2 1 54
3 0 3 1 43
3 1 0 1 11
3 1 1 1 30
3 1 2 1 57
3 1 3 1 58
3 2 0 1 60
3 2 1 1 47
3 2 2 1 45
3 2 3 1 59
3 3 0 1 63
3 3 1 1 61
3 3 2 1 62
3 3 3 1 56
