topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 12
0 0 2 1 11
0 0 3 1 15
0 1 0 1 1
0 1 1 1 36
0 1 2 1 14
0 1 3 1 31
0 2 0 1 32
0 2 1 1 35
0 2 2 1 53
0 2 3 1 52
0 3 0 1 49
0 3 1 1 50
0 3 2 1 51
0 3 3 1 48
1 0 0 1 4
1 0 1 1 8
1 0 2 1 28
1 0 3 1 44
1 1 0 1 16
1 1 1 1 24
1 1 2 1 13
1 1 3 1 60
1 2 0 1 33
1 2 1 1 34
1 2 2 1 54
1 2 3 1 56
1 3 0 1 3
1 3 1 1 55
1 3 2 1 59
1 3 3 1 63
2 0 0 1 5
2 0 1 1 9
2 0 2 1 29
2 0 3 1 45
2 1 0 1 17
2 1 1 1 6
2 1 2 1 10
2 1 3 1 30
2 2 0 1 2
2 2 1 1 18
2 2 2 1 23
2 2 3 1 61
2 3 0 1 19
2 3 1 1 27
2 3 2 1 43
2 3 3 1 47
3 0 0 1 20
3 0 1 1 25
3 0 2 1 41
3 0 3 1 40
3 1 0 1 21
3 1 1 1 22
3 1 2 1 26
3 1 3 1 46
3 2 0 1 37
3 2 1 1 38
3 2 2 1 42
3 2 3 1 57
3 3 0 1 7
3 3 1 1 39
3 3 2 1 58
3 3 3 1 62
