fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 2
0 0 1 1 12
0 0 2 1 35
0 0 3 1 58
0 1 0 1 27
0 1 1 1 17
0 1 2 1 43
0 1 3 1 60
0 2 0 1 54
0 2 1 1 15
0 2 2 1 42
0 2 3 1 10
0 3 0 1 63
0 3 1 1 13
0 3 2 1 61
0 3 3 1 57
1 0 0 1 14
1 0 1 1 30
1 0 2 1 45
1 0 3 1 41
1 1 0 1 31
1 1 1 1 47
1 1 2 1 19
1 1 3 1 8
1 2 0 1 25
1 2 1 1 24
1 2 2 1 39
1 2 3 1 7
1 3 0 1 29
1 3 1 1 26
1 3 2 1 50
1 3 3 1 11
2 0 0 1 4
2 0 1 1 46
2 0 2 1 36
2 0 3 1 53
2 1 0 1 20
2 1 1 1 44
2 1 2 1 62
2 1 3 1 3
2 2 0 1 23
2 2 1 1 33
2 2 2 1 37
2 2 3 1 6
2 3 0 1 38
2 3 1 1 34
2 3 2 1 56
2 3 3 1 0
3 0 0 1 32
3 0 1 1 16
3 0 2 1 22
3 0 3 1 59
3 1 0 1 21
3 1 1 1 28
3 1 2 1 55
3 1 3 1 5
3 2 0 1 48
3 2 1 1 40
3 2 2 1 52
3 2 3 1 9
3 3 0 1 18
3 3 1 1 49
3 3 2 1 51
3 3 3 1 1
