recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 33
0 0 1 1 49
0 0 2 1 18
0 0 3 1 27
0 1 0 1 14
0 1 1 1 61
0 1 2 1 46
0 1 3 1 1
0 2 0 1 26
0 2 1 1 57
0 2 2 1 8
0 2 3 1 42
0 3 0 1 4
0 3 1 1 53
0 3 2 1 16
0 3 3 1 60
1 0 0 1 34
1 0 1 1 9
1 0 2 1 0
1 0 3 1 52
1 1 0 1 7
1 1 1 1 28
1 1 2 1 39
1 1 3 1 25
1 2 0 1 37
1 2 1 1 48
1 2 2 1 55
1 2 3 1 17
1 3 0 1 15
1 3 1 1 11
1 3 2 1 31
1 3 3 1 44
2 0 0 1 51
2 0 1 1 56
2 0 2 1 5
2 0 3 1 62
2 1 0 1 13
2 1 1 1 19
2 1 2 1 35
2 1 3 1 24
2 2 0 1 41
2 2 1 1 2
2 2 2 1 50
2 2 3 1 32
2 3 0 1 20
2 3 1 1 30
2 3 2 1 54
2 3 3 1 12
3 0 0 1 40
3 0 1 1 36
3 0 2 1 22
3 0 3 1 43
3 1 0 1 23
3 1 1 1 38
3 1 2 1 29
3 1 3 1 45
3 2 0 1 10
3 2 1 1 3
3 2 2 1 58
3 2 3 1 59
3 3 0 1 63
3 3 1 1 6
3 3 2 1 21
3 3 3 1 47
