greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 38
0 0 1 1 62
0 0 2 1 35
0 0 3 1 8
0 1 0 1 12
0 1 1 1 9
0 1 2 1 10
0 1 3 1 18
0 2 0 1 21
0 2 1 1 22
0 2 2 1 29
0 2 3 1 6
0 3 0 1 25
0 3 1 1 33
0 3 2 1 48
0 3 3 1 4
1 0 0 1 39
1 0 1 1 28
1 0 2 1 53
1 0 3 1 32
1 1 0 1 14
1 1 1 1 45
1 1 2 1 43
1 1 3 1 57
1 2 0 1 20
1 2 1 1 52
1 2 2 1 47
1 2 3 1 5
1 3 0 1 26
1 3 1 1 34
1 3 2 1 56
1 3 3 1 3
2 0 0 1 40
2 0 1 1 30
2 0 2 1 58
2 0 3 1 41
2 1 0 1 15
2 1 1 1 49
2 1 2 1 44
2 1 3 1 59
2 2 0 1 50
2 2 1 1 19
2 2 2 1 61
2 2 3 1 2
2 3 0 1 27
2 3 1 1 51
2 3 2 1 37
2 3 3 1 36
3 0 0 1 42
3 0 1 1 31
3 0 2 1 0
3 0 3 1 11
3 1 0 1 46
3 1 1 1 54
3 1 2 1 1
3 1 3 1 16
3 2 0 1 23
3 2 1 1 55
3 2 2 1 7
3 2 3 1 17
3 3 0 1 24
3 3 1 1 60
3 3 2 1 13
3 3 3 1 63
