greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 12
0 0 1 1 2
0 0 2 1 49
0 0 3 1 0
0 1 0 1 21
0 1 1 1 31
0 1 2 1 36
0 1 3 1 3
0 2 0 1 23
0 2 1 1 48
0 2 2 1 22
0 2 3 1 8
0 3 0 1 33
0 3 1 1 26
0 3 2 1 34
0 3 3 1 5
1 0 0 1 30
1 0 1 1 32
1 0 2 1 55
1 0 3 1 11
1 1 0 1 4
1 1 1 1 35
1 1 2 1 62
1 1 3 1 6
1 2 0 1 20
1 2 1 1 29
1 2 2 1 19
1 2 3 1 41
1 3 0 1 24
1 3 1 1 16
1 3 2 1 43
1 3 3 1 10
2 0 0 1 14
2 0 1 1 18
2 0 2 1 52
2 0 3 1 60
2 1 0 1 17
2 1 1 1 27
2 1 2 1 39
2 1 3 1 53
2 2 0 1 63
2 2 1 1 38
2 2 2 1 42
2 2 3 1 61
2 3 0 1 25
2 3 1 1 45
2 3 2 1 50
2 3 3 1 7
3 0 0 1 44
3 0 1 1 47
3 0 2 1 56
3 0 3 1 1
3 1 0 1 46
3 1 1 1 28
3 1 2 1 51
3 1 3 1 57
3 2 0 1 54
3 2 1 1 40
3 2 2 1 37
3 2 3 1 59
3 3 0 1 15
3 3 1 1 13
3 3 2 1 58
3 3 3 1 9
