pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 31
0 0 1 1 28
0 0 2 1 27
0 0 3 1 45
0 1 0 1 20
0 1 1 1 35
0 1 2 1 25
0 1 3 1 29
0 2 0 1 26
0 2 1 1 24
0 2 2 1 38
0 2 3 1 42
0 3 0 1 1
0 3 1 1 60
0 3 2 1 62
0 3 3 1 59
1 0 0 1 6
1 0 1 1 13
1 0 2 1 12
1 0 3 1 44
1 1 0 1 4
1 1 1 1 11
1 1 2 1 40
1 1 3 1 51
1 2 0 1 56
1 2 1 1 7
1 2 2 1 48
1 2 3 1 41
1 3 0 1 58
1 3 1 1 9
1 3 2 1 43
1 3 3 1 50
2 0 0 1 3
2 0 1 1 19
2 0 2 1 33
2 0 3 1 53
2 1 0 1 63
2 1 1 1 2
2 1 2 1 15
2 1 3 1 36
2 2 0 1 30
2 2 1 1 49
2 2 2 1 34
2 2 3 1 37
2 3 0 1 57
2 3 1 1 61
2 3 2 1 5
2 3 3 1 39
3 0 0 1 16
3 0 1 1 23
3 0 2 1 22
3 0 3 1 54
3 1 0 1 21
3 1 1 1 14
3 1 2 1 46
3 1 3 1 10
3 2 0 1 32
3 2 1 1 18
3 2 2 1 17
3 2 3 1 47
3 3 0 1 0
3 3 1 1 8
3 3 2 1 52
3 3 3 1 55
