topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 18
0 0 2 1 3
0 0 3 1 37
0 1 0 1 21
0 1 1 1 35
0 1 2 1 8
0 1 3 1 10
0 2 0 1 24
0 2 1 1 31
0 2 2 1 20
0 2 3 1 7
0 3 0 1 58
0 3 1 1 55
0 3 2 1 4
0 3 3 1 57
1 0 0 1 1
1 0 1 1 39
1 0 2 1 29
1 0 3 1 61
1 1 0 1 17
1 1 1 1 47
1 1 2 1 26
1 1 3 1 25
1 2 0 1 14
1 2 1 1 60
1 2 2 1 50
1 2 3 1 63
1 3 0 1 28
1 3 1 1 19
1 3 2 1 43
1 3 3 1 13
2 0 0 1 46
2 0 1 1 45
2 0 2 1 23
2 0 3 1 5
2 1 0 1 52
2 1 1 1 38
2 1 2 1 59
2 1 3 1 40
2 2 0 1 62
2 2 1 1 36
2 2 2 1 33
2 2 3 1 51
2 3 0 1 42
2 3 1 1 22
2 3 2 1 34
2 3 3 1 9
3 0 0 1 44
3 0 1 1 32
3 0 2 1 53
3 0 3 1 11
3 1 0 1 30
3 1 1 1 2
3 1 2 1 48
3 1 3 1 6
3 2 0 1 12
3 2 1 1 54
3 2 2 1 15
3 2 3 1 56
3 3 0 1 27
3 3 1 1 16
3 3 2 1 49
3 3 3 1 41
