fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 2
0 0 1 1 12
0 0 2 1 35
0 0 3 1 15
0 1 0 1 32
0 1 1 1 21
0 1 2 1 28
0 1 3 1 51
0 2 0 1 4
0 2 1 1 63
0 2 2 1 20
0 2 3 1 24
0 3 0 1 13
0 3 1 1 7
0 3 2 1 45
0 3 3 1 41
1 0 0 1 14
1 0 1 1 16
1 0 2 1 30
1 0 3 1 61
1 1 0 1 18
1 1 1 1 46
1 1 2 1 52
1 1 3 1 59
1 2 0 1 48
1 2 1 1 40
1 2 2 1 25
1 2 3 1 23
1 3 0 1 26
1 3 1 1 10
1 3 2 1 6
1 3 3 1 3
2 0 0 1 47
2 0 1 1 17
2 0 2 1 54
2 0 3 1 37
2 1 0 1 27
2 1 1 1 44
2 1 2 1 50
2 1 3 1 60
2 2 0 1 33
2 2 1 1 38
2 2 2 1 58
2 2 3 1 29
2 3 0 1 49
2 3 1 1 39
2 3 2 1 11
2 3 3 1 57
3 0 0 1 5
3 0 1 1 31
3 0 2 1 42
3 0 3 1 53
3 1 0 1 43
3 1 1 1 8
3 1 2 1 56
3 1 3 1 9
3 2 0 1 34
3 2 1 1 36
3 2 2 1 55
3 2 3 1 0
3 3 0 1 22
3 3 1 1 19
3 3 2 1 62
3 3 3 1 1
