recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 5
0 0 2 1 34
0 0 3 1 40
0 1 0 1 1
0 1 1 1 22
0 1 2 1 36
0 1 3 1 61
0 2 0 1 52
0 2 1 1 62
0 2 2 1 28
0 2 3 1 56
0 3 0 1 25
0 3 1 1 24
0 3 2 1 13
0 3 3 1 14
1 0 0 1 18
1 0 1 1 43
1 0 2 1 33
1 0 3 1 51
1 1 0 1 27
1 1 1 1 45
1 1 2 1 49
1 1 3 1 38
1 2 0 1 39
1 2 1 1 46
1 2 2 1 19
1 2 3 1 9
1 3 0 1 35
1 3 1 1 29
1 3 2 1 23
1 3 3 1 7
2 0 0 1 42
2 0 1 1 55
2 0 2 1 57
2 0 3 1 37
2 1 0 1 50
2 1 1 1 58
2 1 2 1 41
2 1 3 1 10
2 2 0 1 44
2 2 1 1 16
2 2 2 1 11
2 2 3 1 4
2 3 0 1 54
2 3 1 1 12
2 3 2 1 20
2 3 3 1 30
3 0 0 1 59
3 0 1 1 8
3 0 2 1 3
3 0 3 1 26
3 1 0 1 47
3 1 1 1 60
3 1 2 1 6
3 1 3 1 53
3 2 0 1 17
3 2 1 1 32
3 2 2 1 48
3 2 3 1 2
3 3 0 1 31
3 3 1 1 21
3 3 2 1 15
3 3 3 1 63
