greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 38
0 0 1 1 62
0 0 2 1 35
0 0 3 1 37
0 1 0 1 15
0 1 1 1 31
0 1 2 1 44
0 1 3 1 8
0 2 0 1 50
0 2 1 1 30
0 2 2 1 61
0 2 3 1 11
0 3 0 1 27
0 3 1 1 28
0 3 2 1 18
0 3 3 1 16
1 0 0 1 39
1 0 1 1 9
1 0 2 1 10
1 0 3 1 56
1 1 0 1 14
1 1 1 1 54
1 1 2 1 43
1 1 3 1 32
1 2 0 1 20
1 2 1 1 55
1 2 2 1 47
1 2 3 1 41
1 3 0 1 26
1 3 1 1 60
1 3 2 1 57
1 3 3 1 36
2 0 0 1 40
2 0 1 1 45
2 0 2 1 1
2 0 3 1 48
2 1 0 1 12
2 1 1 1 52
2 1 2 1 7
2 1 3 1 13
2 2 0 1 21
2 2 1 1 22
2 2 2 1 29
2 2 3 1 4
2 3 0 1 25
2 3 1 1 33
2 3 2 1 59
2 3 3 1 3
3 0 0 1 42
3 0 1 1 49
3 0 2 1 0
3 0 3 1 63
3 1 0 1 46
3 1 1 1 19
3 1 2 1 58
3 1 3 1 17
3 2 0 1 23
3 2 1 1 51
3 2 2 1 53
3 2 3 1 6
3 3 0 1 24
3 3 1 1 34
3 3 2 1 2
3 3 3 1 5
