greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 2
0 0 1 1 4
0 0 2 1 51
0 0 3 1 1
0 1 0 1 32
0 1 1 1 21
0 1 2 1 56
0 1 3 1 58
0 2 0 1 16
0 2 1 1 17
0 2 2 1 37
0 2 3 1 60
0 3 0 1 55
0 3 1 1 42
0 3 2 1 50
0 3 3 1 57
1 0 0 1 30
1 0 1 1 14
1 0 2 1 63
1 0 3 1 3
1 1 0 1 12
1 1 1 1 35
1 1 2 1 15
1 1 3 1 53
1 2 0 1 47
1 2 1 1 31
1 2 2 1 54
1 2 3 1 59
1 3 0 1 39
1 3 1 1 25
1 3 2 1 52
1 3 3 1 10
2 0 0 1 18
2 0 1 1 28
2 0 2 1 13
2 0 3 1 6
2 1 0 1 46
2 1 1 1 27
2 1 2 1 48
2 1 3 1 41
2 2 0 1 44
2 2 1 1 20
2 2 2 1 26
2 2 3 1 8
2 3 0 1 22
2 3 1 1 45
2 3 2 1 62
2 3 3 1 9
3 0 0 1 34
3 0 1 1 38
3 0 2 1 49
3 0 3 1 0
3 1 0 1 23
3 1 1 1 24
3 1 2 1 40
3 1 3 1 7
3 2 0 1 29
3 2 1 1 33
3 2 2 1 36
3 2 3 1 5
3 3 0 1 43
3 3 1 1 19
3 3 2 1 61
3 3 3 1 11
