pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 3
0 0 1 1 40
0 0 2 1 21
0 0 3 1 5
0 1 0 1 31
0 1 1 1 23
0 1 2 1 34
0 1 3 1 10
0 2 0 1 19
0 2 1 1 33
0 2 2 1 22
0 2 3 1 43
0 3 0 1 1
0 3 1 1 8
0 3 2 1 42
0 3 3 1 54
1 0 0 1 63
1 0 1 1 13
1 0 2 1 36
1 0 3 1 37
1 1 0 1 2
1 1 1 1 15
1 1 2 1 49
1 1 3 1 46
1 2 0 1 28
1 2 1 1 7
1 2 2 1 38
1 2 3 1 53
1 3 0 1 57
1 3 1 1 61
1 3 2 1 52
1 3 3 1 39
2 0 0 1 4
2 0 1 1 12
2 0 2 1 56
2 0 3 1 16
2 1 0 1 20
2 1 1 1 35
2 1 2 1 30
2 1 3 1 32
2 2 0 1 14
2 2 1 1 24
2 2 2 1 18
2 2 3 1 17
2 3 0 1 58
2 3 1 1 62
2 3 2 1 50
2 3 3 1 47
3 0 0 1 6
3 0 1 1 48
3 0 2 1 51
3 0 3 1 9
3 1 0 1 11
3 1 1 1 25
3 1 2 1 45
3 1 3 1 29
3 2 0 1 27
3 2 1 1 26
3 2 2 1 44
3 2 3 1 41
3 3 0 1 0
3 3 1 1 60
3 3 2 1 55
3 3 3 1 59
