topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 28
0 0 2 1 24
0 0 3 1 8
0 1 0 1 39
0 1 1 1 27
0 1 2 1 25
0 1 3 1 61
0 2 0 1 35
0 2 1 1 42
0 2 2 1 20
0 2 3 1 2
0 3 0 1 62
0 3 1 1 31
0 3 2 1 63
0 3 3 1 4
1 0 0 1 1
1 0 1 1 43
1 0 2 1 22
1 0 3 1 13
1 1 0 1 44
1 1 1 1 45
1 1 2 1 33
1 1 3 1 23
1 2 0 1 47
1 2 1 1 55
1 2 2 1 15
1 2 3 1 36
1 3 0 1 12
1 3 1 1 54
1 3 2 1 19
1 3 3 1 11
2 0 0 1 18
2 0 1 1 34
2 0 2 1 5
2 0 3 1 51
2 1 0 1 46
2 1 1 1 29
2 1 2 1 41
2 1 3 1 40
2 2 0 1 30
2 2 1 1 38
2 2 2 1 48
2 2 3 1 53
2 3 0 1 16
2 3 1 1 26
2 3 2 1 3
2 3 3 1 6
3 0 0 1 32
3 0 1 1 50
3 0 2 1 14
3 0 3 1 9
3 1 0 1 52
3 1 1 1 60
3 1 2 1 59
3 1 3 1 7
3 2 0 1 21
3 2 1 1 58
3 2 2 1 57
3 2 3 1 49
3 3 0 1 17
3 3 1 1 37
3 3 2 1 10
3 3 3 1 56
