fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 2
0 0 1 1 12
0 0 2 1 35
0 0 3 1 15
0 1 0 1 63
0 1 1 1 43
0 1 2 1 24
0 1 3 1 0
0 2 0 1 33
0 2 1 1 34
0 2 2 1 22
0 2 3 1 38
0 3 0 1 20
0 3 1 1 45
0 3 2 1 50
0 3 3 1 31
1 0 0 1 14
1 0 1 1 44
1 0 2 1 30
1 0 3 1 41
1 1 0 1 8
1 1 1 1 1
1 1 2 1 62
1 1 3 1 57
1 2 0 1 36
1 2 1 1 55
1 2 2 1 19
1 2 3 1 39
1 3 0 1 5
1 3 1 1 60
1 3 2 1 58
1 3 3 1 11
2 0 0 1 21
2 0 1 1 48
2 0 2 1 26
2 0 3 1 13
2 1 0 1 3
2 1 1 1 40
2 1 2 1 59
2 1 3 1 6
2 2 0 1 37
2 2 1 1 56
2 2 2 1 53
2 2 3 1 10
2 3 0 1 54
2 3 1 1 49
2 3 2 1 61
2 3 3 1 25
3 0 0 1 32
3 0 1 1 18
3 0 2 1 28
3 0 3 1 4
3 1 0 1 46
3 1 1 1 52
3 1 2 1 51
3 1 3 1 7
3 2 0 1 27
3 2 1 1 42
3 2 2 1 9
3 2 3 1 47
3 3 0 1 16
3 3 1 1 23
3 3 2 1 29
3 3 3 1 17
