recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 18
0 0 2 1 8
0 0 3 1 42
0 1 0 1 35
0 1 1 1 46
0 1 2 1 54
0 1 3 1 12
0 2 0 1 25
0 2 1 1 62
0 2 2 1 44
0 2 3 1 16
0 3 0 1 5
0 3 1 1 43
0 3 2 1 58
0 3 3 1 50
1 0 0 1 48
1 0 1 1 15
1 0 2 1 11
1 0 3 1 20
1 1 0 1 49
1 1 1 1 33
1 1 2 1 13
1 1 3 1 14
1 2 0 1 38
1 2 1 1 51
1 2 2 1 28
1 2 3 1 56
1 3 0 1 37
1 3 1 1 57
1 3 2 1 41
1 3 3 1 6
2 0 0 1 30
2 0 1 1 2
2 0 2 1 63
2 0 3 1 4
2 1 0 1 34
2 1 1 1 36
2 1 2 1 23
2 1 3 1 7
2 2 0 1 40
2 2 1 1 61
2 2 2 1 19
2 2 3 1 9
2 3 0 1 26
2 3 1 1 3
2 3 2 1 53
2 3 3 1 10
3 0 0 1 1
3 0 1 1 27
3 0 2 1 59
3 0 3 1 55
3 1 0 1 29
3 1 1 1 39
3 1 2 1 31
3 1 3 1 21
3 2 0 1 24
3 2 1 1 52
3 2 2 1 17
3 2 3 1 32
3 3 0 1 22
3 3 1 1 45
3 3 2 1 60
3 3 3 1 47
