greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 38
0 0 1 1 62
0 0 2 1 35
0 0 3 1 32
0 1 0 1 12
0 1 1 1 9
0 1 2 1 0
0 1 3 1 57
0 2 0 1 21
0 2 1 1 22
0 2 2 1 61
0 2 3 1 17
0 3 0 1 25
0 3 1 1 56
0 3 2 1 37
0 3 3 1 8
1 0 0 1 39
1 0 1 1 31
1 0 2 1 53
1 0 3 1 41
1 1 0 1 14
1 1 1 1 54
1 1 2 1 58
1 1 3 1 59
1 2 0 1 20
1 2 1 1 55
1 2 2 1 47
1 2 3 1 6
1 3 0 1 26
1 3 1 1 48
1 3 2 1 13
1 3 3 1 36
2 0 0 1 40
2 0 1 1 30
2 0 2 1 51
2 0 3 1 11
2 1 0 1 15
2 1 1 1 33
2 1 2 1 34
2 1 3 1 2
2 2 0 1 50
2 2 1 1 60
2 2 2 1 29
2 2 3 1 5
2 3 0 1 27
2 3 1 1 28
2 3 2 1 7
2 3 3 1 3
3 0 0 1 42
3 0 1 1 49
3 0 2 1 10
3 0 3 1 16
3 1 0 1 46
3 1 1 1 45
3 1 2 1 1
3 1 3 1 18
3 2 0 1 23
3 2 1 1 52
3 2 2 1 44
3 2 3 1 63
3 3 0 1 24
3 3 1 1 19
3 3 2 1 43
3 3 3 1 4
