greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 2
0 0 1 1 4
0 0 2 1 7
0 0 3 1 0
0 1 0 1 32
0 1 1 1 21
0 1 2 1 34
0 1 3 1 3
0 2 0 1 44
0 2 1 1 31
0 2 2 1 22
0 2 3 1 9
0 3 0 1 15
0 3 1 1 63
0 3 2 1 51
0 3 3 1 57
1 0 0 1 30
1 0 1 1 14
1 0 2 1 49
1 0 3 1 56
1 1 0 1 12
1 1 1 1 35
1 1 2 1 26
1 1 3 1 19
1 2 0 1 47
1 2 1 1 28
1 2 2 1 13
1 2 3 1 39
1 3 0 1 48
1 3 1 1 24
1 3 2 1 36
1 3 3 1 8
2 0 0 1 18
2 0 1 1 27
2 0 2 1 52
2 0 3 1 11
2 1 0 1 46
2 1 1 1 17
2 1 2 1 38
2 1 3 1 62
2 2 0 1 54
2 2 1 1 20
2 2 2 1 40
2 2 3 1 61
2 3 0 1 45
2 3 1 1 25
2 3 2 1 42
2 3 3 1 59
3 0 0 1 41
3 0 1 1 50
3 0 2 1 60
3 0 3 1 1
3 1 0 1 16
3 1 1 1 23
3 1 2 1 55
3 1 3 1 6
3 2 0 1 29
3 2 1 1 33
3 2 2 1 43
3 2 3 1 5
3 3 0 1 53
3 3 1 1 37
3 3 2 1 58
3 3 3 1 10
