hilbert
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 3
0 0 2 1 60
0 0 3 1 63
0 1 0 1 7
0 1 1 1 4
0 1 2 1 59
0 1 3 1 56
0 2 0 1 8
0 2 1 1 9
0 2 2 1 54
0 2 3 1 55
0 3 0 1 11
0 3 1 1 10
0 3 2 1 53
0 3 3 1 52
1 0 0 1 1
1 0 1 1 2
1 0 2 1 61
1 0 3 1 62
1 1 0 1 6
1 1 1 1 5
1 1 2 1 58
1 1 3 1 57
1 2 0 1 15
1 2 1 1 14
1 2 2 1 49
1 2 3 1 48
1 3 0 1 12
1 3 1 1 13
1 3 2 1 50
1 3 3 1 51
2 0 0 1 26
2 0 1 1 29
2 0 2 1 34
2 0 3 1 37
2 1 0 1 27
2 1 1 1 28
2 1 2 1 35
2 1 3 1 36
2 2 0 1 16
2 2 1 1 17
2 2 2 1 46
2 2 3 1 47
2 3 0 1 19
2 3 1 1 18
2 3 2 1 45
2 3 3 1 44
3 0 0 1 25
3 0 1 1 30
3 0 2 1 33
3 0 3 1 38
3 1 0 1 24
3 1 1 1 31
3 1 2 1 32
3 1 3 1 39
3 2 0 1 23
3 2 1 1 22
3 2 2 1 41
3 2 3 1 40
3 3 0 1 20
3 3 1 1 21
3 3 2 1 42
3 3 3 1 43
