recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 57
0 0 1 1 59
0 0 2 1 10
0 0 3 1 11
0 1 0 1 30
0 1 1 1 62
0 1 2 1 5
0 1 3 1 9
0 2 0 1 40
0 2 1 1 41
0 2 2 1 48
0 2 3 1 49
0 3 0 1 22
0 3 1 1 46
0 3 2 1 32
0 3 3 1 14
1 0 0 1 56
1 0 1 1 29
1 0 2 1 8
1 0 3 1 3
1 1 0 1 31
1 1 1 1 24
1 1 2 1 7
1 1 3 1 4
1 2 0 1 45
1 2 1 1 51
1 2 2 1 53
1 2 3 1 37
1 3 0 1 55
1 3 1 1 50
1 3 2 1 39
1 3 3 1 38
2 0 0 1 61
2 0 1 1 28
2 0 2 1 20
2 0 3 1 1
2 1 0 1 26
2 1 1 1 25
2 1 2 1 0
2 1 3 1 2
2 2 0 1 43
2 2 1 1 19
2 2 2 1 13
2 2 3 1 33
2 3 0 1 54
2 3 1 1 21
2 3 2 1 36
2 3 3 1 34
3 0 0 1 60
3 0 1 1 58
3 0 2 1 18
3 0 3 1 16
3 1 0 1 27
3 1 1 1 63
3 1 2 1 6
3 1 3 1 17
3 2 0 1 42
3 2 1 1 44
3 2 2 1 12
3 2 3 1 52
3 3 0 1 23
3 3 1 1 47
3 3 2 1 35
3 3 3 1 15
