greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 2
0 0 1 1 1
0 0 2 1 0
0 0 3 1 48
0 1 0 1 7
0 1 1 1 22
0 1 2 1 29
0 1 3 1 53
0 2 0 1 11
0 2 1 1 36
0 2 2 1 42
0 2 3 1 58
0 3 0 1 15
0 3 1 1 38
0 3 2 1 45
0 3 3 1 61
1 0 0 1 4
1 0 1 1 20
1 0 2 1 25
1 0 3 1 49
1 1 0 1 8
1 1 1 1 23
1 1 2 1 30
1 1 3 1 54
1 2 0 1 9
1 2 1 1 34
1 2 2 1 41
1 2 3 1 57
1 3 0 1 16
1 3 1 1 39
1 3 2 1 46
1 3 3 1 62
2 0 0 1 3
2 0 1 1 18
2 0 2 1 26
2 0 3 1 50
2 1 0 1 10
2 1 1 1 32
2 1 2 1 31
2 1 3 1 55
2 2 0 1 12
2 2 1 1 33
2 2 2 1 40
2 2 3 1 56
2 3 0 1 17
2 3 1 1 24
2 3 2 1 47
2 3 3 1 63
3 0 0 1 5
3 0 1 1 19
3 0 2 1 28
3 0 3 1 52
3 1 0 1 6
3 1 1 1 21
3 1 2 1 27
3 1 3 1 51
3 2 0 1 14
3 2 1 1 35
3 2 2 1 44
3 2 3 1 60
3 3 0 1 13
3 3 1 1 37
3 3 2 1 43
3 3 3 1 59
