pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 19
0 0 1 1 18
0 0 2 1 27
0 0 3 1 46
0 1 0 1 17
0 1 1 1 16
0 1 2 1 31
0 1 3 1 47
0 2 0 1 21
0 2 1 1 20
0 2 2 1 50
0 2 3 1 54
0 3 0 1 34
0 3 1 1 38
0 3 2 1 62
0 3 3 1 63
1 0 0 1 4
1 0 1 1 6
1 0 2 1 26
1 0 3 1 42
1 1 0 1 0
1 1 1 1 2
1 1 2 1 30
1 1 3 1 45
1 2 0 1 23
1 2 1 1 22
1 2 2 1 48
1 2 3 1 52
1 3 0 1 32
1 3 1 1 36
1 3 2 1 51
1 3 3 1 55
2 0 0 1 5
2 0 1 1 24
2 0 2 1 25
2 0 3 1 40
2 1 0 1 1
2 1 1 1 3
2 1 2 1 7
2 1 3 1 44
2 2 0 1 11
2 2 1 1 15
2 2 2 1 49
2 2 3 1 53
2 3 0 1 33
2 3 1 1 37
2 3 2 1 60
2 3 3 1 61
3 0 0 1 9
3 0 1 1 13
3 0 2 1 28
3 0 3 1 41
3 1 0 1 8
3 1 1 1 12
3 1 2 1 29
3 1 3 1 43
3 2 0 1 10
3 2 1 1 14
3 2 2 1 56
3 2 3 1 57
3 3 0 1 35
3 3 1 1 39
3 3 2 1 58
3 3 3 1 59
