topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 8
0 0 2 1 25
0 0 3 1 37
0 1 0 1 4
0 1 1 1 12
0 1 2 1 36
0 1 3 1 61
0 2 0 1 19
0 2 1 1 24
0 2 2 1 54
0 2 3 1 63
0 3 0 1 18
0 3 1 1 32
0 3 2 1 44
0 3 3 1 62
1 0 0 1 1
1 0 1 1 10
1 0 2 1 30
1 0 3 1 39
1 1 0 1 5
1 1 1 1 14
1 1 2 1 38
1 1 3 1 60
1 2 0 1 23
1 2 1 1 26
1 2 2 1 55
1 2 3 1 51
1 3 0 1 22
1 3 1 1 34
1 3 2 1 57
1 3 3 1 50
2 0 0 1 3
2 0 1 1 11
2 0 2 1 33
2 0 3 1 52
2 1 0 1 7
2 1 1 1 15
2 1 2 1 49
2 1 3 1 40
2 2 0 1 21
2 2 1 1 27
2 2 2 1 53
2 2 3 1 42
2 3 0 1 20
2 3 1 1 31
2 3 2 1 59
2 3 3 1 56
3 0 0 1 2
3 0 1 1 9
3 0 2 1 35
3 0 3 1 45
3 1 0 1 6
3 1 1 1 13
3 1 2 1 48
3 1 3 1 47
3 2 0 1 17
3 2 1 1 28
3 2 2 1 43
3 2 3 1 46
3 3 0 1 16
3 3 1 1 29
3 3 2 1 41
3 3 3 1 58
