fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 3
0 0 1 1 1
0 0 2 1 0
0 0 3 1 36
0 1 0 1 10
0 1 1 1 8
0 1 2 1 4
0 1 3 1 32
0 2 0 1 11
0 2 1 1 9
0 2 2 1 25
0 2 3 1 27
0 3 0 1 17
0 3 1 1 19
0 3 2 1 23
0 3 3 1 58
1 0 0 1 7
1 0 1 1 5
1 0 2 1 2
1 0 3 1 40
1 1 0 1 14
1 1 1 1 12
1 1 2 1 16
1 1 3 1 56
1 2 0 1 15
1 2 1 1 13
1 2 2 1 20
1 2 3 1 31
1 3 0 1 21
1 3 1 1 26
1 3 2 1 41
1 3 3 1 63
2 0 0 1 24
2 0 1 1 28
2 0 2 1 6
2 0 3 1 48
2 1 0 1 33
2 1 1 1 22
2 1 2 1 18
2 1 3 1 57
2 2 0 1 37
2 2 1 1 38
2 2 2 1 34
2 2 3 1 59
2 3 0 1 42
2 3 1 1 30
2 3 2 1 45
2 3 3 1 62
3 0 0 1 35
3 0 1 1 29
3 0 2 1 43
3 0 3 1 47
3 1 0 1 39
3 1 1 1 49
3 1 2 1 60
3 1 3 1 61
3 2 0 1 44
3 2 1 1 50
3 2 2 1 52
3 2 3 1 54
3 3 0 1 46
3 3 1 1 51
3 3 2 1 53
3 3 3 1 55
