recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 8
0 0 1 1 20
0 0 2 1 56
0 0 3 1 60
0 1 0 1 9
0 1 1 1 18
0 1 2 1 58
0 1 3 1 62
0 2 0 1 3
0 2 1 1 1
0 2 2 1 24
0 2 3 1 28
0 3 0 1 4
0 3 1 1 2
0 3 2 1 26
0 3 3 1 30
1 0 0 1 10
1 0 1 1 16
1 0 2 1 57
1 0 3 1 61
1 1 0 1 11
1 1 1 1 17
1 1 2 1 59
1 1 3 1 63
1 2 0 1 7
1 2 1 1 5
1 2 2 1 25
1 2 3 1 29
1 3 0 1 0
1 3 1 1 6
1 3 2 1 27
1 3 3 1 31
2 0 0 1 49
2 0 1 1 53
2 0 2 1 41
2 0 3 1 45
2 1 0 1 13
2 1 1 1 12
2 1 2 1 43
2 1 3 1 42
2 2 0 1 38
2 2 1 1 32
2 2 2 1 50
2 2 3 1 22
2 3 0 1 36
2 3 1 1 34
2 3 2 1 54
2 3 3 1 21
3 0 0 1 52
3 0 1 1 48
3 0 2 1 44
3 0 3 1 40
3 1 0 1 15
3 1 1 1 14
3 1 2 1 47
3 1 3 1 46
3 2 0 1 37
3 2 1 1 33
3 2 2 1 51
3 2 3 1 19
3 3 0 1 39
3 3 1 1 35
3 3 2 1 55
3 3 3 1 23
