greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 2
0 0 1 1 1
0 0 2 1 0
0 0 3 1 47
0 1 0 1 10
0 1 1 1 19
0 1 2 1 31
0 1 3 1 48
0 2 0 1 12
0 2 1 1 18
0 2 2 1 40
0 2 3 1 52
0 3 0 1 17
0 3 1 1 20
0 3 2 1 53
0 3 3 1 51
1 0 0 1 4
1 0 1 1 22
1 0 2 1 29
1 0 3 1 46
1 1 0 1 8
1 1 1 1 21
1 1 2 1 30
1 1 3 1 49
1 2 0 1 9
1 2 1 1 35
1 2 2 1 41
1 2 3 1 50
1 3 0 1 16
1 3 1 1 37
1 3 2 1 54
1 3 3 1 63
2 0 0 1 3
2 0 1 1 23
2 0 2 1 27
2 0 3 1 45
2 1 0 1 7
2 1 1 1 34
2 1 2 1 44
2 1 3 1 43
2 2 0 1 11
2 2 1 1 36
2 2 2 1 42
2 2 3 1 61
2 3 0 1 15
2 3 1 1 38
2 3 2 1 55
2 3 3 1 62
3 0 0 1 5
3 0 1 1 32
3 0 2 1 28
3 0 3 1 59
3 1 0 1 6
3 1 1 1 33
3 1 2 1 26
3 1 3 1 60
3 2 0 1 14
3 2 1 1 24
3 2 2 1 25
3 2 3 1 58
3 3 0 1 13
3 3 1 1 39
3 3 2 1 56
3 3 3 1 57
