greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 7
0 0 1 1 6
0 0 2 1 25
0 0 3 1 29
0 1 0 1 5
0 1 1 1 4
0 1 2 1 27
0 1 3 1 31
0 2 0 1 33
0 2 1 1 32
0 2 2 1 40
0 2 3 1 42
0 3 0 1 37
0 3 1 1 36
0 3 2 1 41
0 3 3 1 43
1 0 0 1 3
1 0 1 1 2
1 0 2 1 24
1 0 3 1 28
1 1 0 1 1
1 1 1 1 0
1 1 2 1 26
1 1 3 1 30
1 2 0 1 13
1 2 1 1 34
1 2 2 1 35
1 2 3 1 46
1 3 0 1 39
1 3 1 1 38
1 3 2 1 44
1 3 3 1 47
2 0 0 1 9
2 0 1 1 16
2 0 2 1 20
2 0 3 1 56
2 1 0 1 8
2 1 1 1 18
2 1 2 1 22
2 1 3 1 58
2 2 0 1 12
2 2 1 1 48
2 2 2 1 50
2 2 3 1 60
2 3 0 1 54
2 3 1 1 52
2 3 2 1 45
2 3 3 1 62
3 0 0 1 11
3 0 1 1 17
3 0 2 1 21
3 0 3 1 57
3 1 0 1 10
3 1 1 1 19
3 1 2 1 23
3 1 3 1 59
3 2 0 1 14
3 2 1 1 49
3 2 2 1 51
3 2 3 1 61
3 3 0 1 15
3 3 1 1 53
3 3 2 1 55
3 3 3 1 63
