recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 8
0 0 1 1 10
0 0 2 1 48
0 0 3 1 49
0 1 0 1 0
0 1 1 1 5
0 1 2 1 36
0 1 3 1 34
0 2 0 1 4
0 2 1 1 1
0 2 2 1 38
0 2 3 1 32
0 3 0 1 20
0 3 1 1 16
0 3 2 1 12
0 3 3 1 13
1 0 0 1 51
1 0 1 1 55
1 0 2 1 50
1 0 3 1 54
1 1 0 1 59
1 1 1 1 57
1 1 2 1 26
1 1 3 1 30
1 2 0 1 63
1 2 1 1 61
1 2 2 1 24
1 2 3 1 28
1 3 0 1 45
1 3 1 1 41
1 3 2 1 43
1 3 3 1 47
2 0 0 1 21
2 0 1 1 19
2 0 2 1 23
2 0 3 1 22
2 1 0 1 56
2 1 1 1 58
2 1 2 1 27
2 1 3 1 31
2 2 0 1 60
2 2 1 1 62
2 2 2 1 25
2 2 3 1 29
2 3 0 1 40
2 3 1 1 44
2 3 2 1 46
2 3 3 1 42
3 0 0 1 9
3 0 1 1 11
3 0 2 1 52
3 0 3 1 53
3 1 0 1 6
3 1 1 1 7
3 1 2 1 39
3 1 3 1 35
3 2 0 1 2
3 2 1 1 3
3 2 2 1 37
3 2 3 1 33
3 3 0 1 18
3 3 1 1 17
3 3 2 1 14
3 3 3 1 15
