topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 9
0 0 2 1 31
0 0 3 1 30
0 1 0 1 4
0 1 1 1 13
0 1 2 1 33
0 1 3 1 32
0 2 0 1 19
0 2 1 1 49
0 2 2 1 59
0 2 3 1 63
0 3 0 1 18
0 3 1 1 53
0 3 2 1 55
0 3 3 1 51
1 0 0 1 1
1 0 1 1 8
1 0 2 1 29
1 0 3 1 28
1 1 0 1 5
1 1 1 1 12
1 1 2 1 35
1 1 3 1 34
1 2 0 1 23
1 2 1 1 48
1 2 2 1 58
1 2 3 1 62
1 3 0 1 22
1 3 1 1 52
1 3 2 1 54
1 3 3 1 50
2 0 0 1 3
2 0 1 1 10
2 0 2 1 25
2 0 3 1 24
2 1 0 1 7
2 1 1 1 14
2 1 2 1 39
2 1 3 1 38
2 2 0 1 21
2 2 1 1 40
2 2 2 1 56
2 2 3 1 60
2 3 0 1 20
2 3 1 1 44
2 3 2 1 41
2 3 3 1 45
3 0 0 1 2
3 0 1 1 11
3 0 2 1 27
3 0 3 1 26
3 1 0 1 6
3 1 1 1 15
3 1 2 1 37
3 1 3 1 36
3 2 0 1 17
3 2 1 1 42
3 2 2 1 57
3 2 3 1 61
3 3 0 1 16
3 3 1 1 46
3 3 2 1 43
3 3 3 1 47
