fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 5
0 0 2 1 21
0 0 3 1 47
0 1 0 1 2
0 1 1 1 33
0 1 2 1 43
0 1 3 1 55
0 2 0 1 22
0 2 1 1 34
0 2 2 1 14
0 2 3 1 3
0 3 0 1 38
0 3 1 1 7
0 3 2 1 57
0 3 3 1 48
1 0 0 1 0
1 0 1 1 1
1 0 2 1 53
1 0 3 1 49
1 1 0 1 20
1 1 1 1 36
1 1 2 1 54
1 1 3 1 52
1 2 0 1 9
1 2 1 1 40
1 2 2 1 28
1 2 3 1 12
1 3 0 1 29
1 3 1 1 19
1 3 2 1 58
1 3 3 1 51
2 0 0 1 4
2 0 1 1 24
2 0 2 1 30
2 0 3 1 50
2 1 0 1 6
2 1 1 1 41
2 1 2 1 35
2 1 3 1 59
2 2 0 1 8
2 2 1 1 42
2 2 2 1 45
2 2 3 1 62
2 3 0 1 25
2 3 1 1 27
2 3 2 1 31
2 3 3 1 60
3 0 0 1 16
3 0 1 1 26
3 0 2 1 11
3 0 3 1 56
3 1 0 1 18
3 1 1 1 32
3 1 2 1 13
3 1 3 1 61
3 2 0 1 10
3 2 1 1 23
3 2 2 1 46
3 2 3 1 15
3 3 0 1 37
3 3 1 1 39
3 3 2 1 44
3 3 3 1 63
