greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 5
0 0 1 1 16
0 0 2 1 3
0 0 3 1 63
0 1 0 1 6
0 1 1 1 20
0 1 2 1 11
0 1 3 1 60
0 2 0 1 10
0 2 1 1 40
0 2 2 1 27
0 2 3 1 56
0 3 0 1 23
0 3 1 1 53
0 3 2 1 35
0 3 3 1 61
1 0 0 1 1
1 0 1 1 17
1 0 2 1 52
1 0 3 1 51
1 1 0 1 2
1 1 1 1 21
1 1 2 1 14
1 1 3 1 12
1 2 0 1 38
1 2 1 1 24
1 2 2 1 39
1 2 3 1 49
1 3 0 1 34
1 3 1 1 19
1 3 2 1 43
1 3 3 1 50
2 0 0 1 0
2 0 1 1 18
2 0 2 1 57
2 0 3 1 48
2 1 0 1 37
2 1 1 1 22
2 1 2 1 13
2 1 3 1 59
2 2 0 1 33
2 2 1 1 8
2 2 2 1 30
2 2 3 1 58
2 3 0 1 41
2 3 1 1 7
2 3 2 1 54
2 3 3 1 55
3 0 0 1 4
3 0 1 1 26
3 0 2 1 44
3 0 3 1 15
3 1 0 1 25
3 1 1 1 9
3 1 2 1 28
3 1 3 1 47
3 2 0 1 36
3 2 1 1 42
3 2 2 1 45
3 2 3 1 31
3 3 0 1 32
3 3 1 1 29
3 3 2 1 46
3 3 3 1 62
