pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 52
0 0 1 1 32
0 0 2 1 36
0 0 3 1 54
0 1 0 1 56
0 1 1 1 57
0 1 2 1 41
0 1 3 1 45
0 2 0 1 61
0 2 1 1 44
0 2 2 1 40
0 2 3 1 28
0 3 0 1 62
0 3 1 1 59
0 3 2 1 58
0 3 3 1 46
1 0 0 1 49
1 0 1 1 16
1 0 2 1 37
1 0 3 1 53
1 1 0 1 48
1 1 1 1 20
1 1 2 1 25
1 1 3 1 30
1 2 0 1 12
1 2 1 1 8
1 2 2 1 24
1 2 3 1 29
1 3 0 1 60
1 3 1 1 47
1 3 2 1 13
1 3 3 1 14
2 0 0 1 0
2 0 1 1 17
2 0 2 1 4
2 0 3 1 38
2 1 0 1 1
2 1 1 1 5
2 1 2 1 21
2 1 3 1 42
2 2 0 1 55
2 2 1 1 6
2 2 2 1 9
2 2 3 1 19
2 3 0 1 63
2 3 1 1 31
2 3 2 1 35
2 3 3 1 43
3 0 0 1 50
3 0 1 1 18
3 0 2 1 33
3 0 3 1 34
3 1 0 1 51
3 1 1 1 2
3 1 2 1 26
3 1 3 1 23
3 2 0 1 3
3 2 1 1 22
3 2 2 1 10
3 2 3 1 7
3 3 0 1 15
3 3 1 1 11
3 3 2 1 27
3 3 3 1 39
