topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 4
0 0 2 1 58
0 0 3 1 51
0 1 0 1 25
0 1 1 1 6
0 1 2 1 53
0 1 3 1 3
0 2 0 1 24
0 2 1 1 29
0 2 2 1 44
0 2 3 1 63
0 3 0 1 40
0 3 1 1 13
0 3 2 1 57
0 3 3 1 62
1 0 0 1 1
1 0 1 1 5
1 0 2 1 2
1 0 3 1 35
1 1 0 1 22
1 1 1 1 18
1 1 2 1 23
1 1 3 1 7
1 2 0 1 41
1 2 1 1 28
1 2 2 1 46
1 2 3 1 59
1 3 0 1 26
1 3 1 1 30
1 3 2 1 31
1 3 3 1 47
2 0 0 1 17
2 0 1 1 21
2 0 2 1 19
2 0 3 1 55
2 1 0 1 33
2 1 1 1 37
2 1 2 1 34
2 1 3 1 50
2 2 0 1 9
2 2 1 1 38
2 2 2 1 12
2 2 3 1 54
2 3 0 1 10
2 3 1 1 42
2 3 2 1 11
2 3 3 1 43
3 0 0 1 16
3 0 1 1 20
3 0 2 1 39
3 0 3 1 60
3 1 0 1 32
3 1 1 1 36
3 1 2 1 49
3 1 3 1 52
3 2 0 1 8
3 2 1 1 45
3 2 2 1 48
3 2 3 1 56
3 3 0 1 27
3 3 1 1 14
3 3 2 1 15
3 3 3 1 61
