fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 5
0 0 2 1 21
0 0 3 1 53
0 1 0 1 47
0 1 1 1 10
0 1 2 1 26
0 1 3 1 14
0 2 0 1 55
0 2 1 1 15
0 2 2 1 39
0 2 3 1 58
0 3 0 1 60
0 3 1 1 45
0 3 2 1 27
0 3 3 1 46
1 0 0 1 0
1 0 1 1 4
1 0 2 1 1
1 0 3 1 18
1 1 0 1 30
1 1 1 1 25
1 1 2 1 6
1 1 3 1 11
1 2 0 1 61
1 2 1 1 13
1 2 2 1 42
1 2 3 1 31
1 3 0 1 44
1 3 1 1 24
1 3 2 1 22
1 3 3 1 3
2 0 0 1 20
2 0 1 1 9
2 0 2 1 16
2 0 3 1 36
2 1 0 1 41
2 1 1 1 38
2 1 2 1 33
2 1 3 1 57
2 2 0 1 56
2 2 1 1 43
2 2 2 1 54
2 2 3 1 51
2 3 0 1 63
2 3 1 1 12
2 3 2 1 35
2 3 3 1 50
3 0 0 1 2
3 0 1 1 8
3 0 2 1 37
3 0 3 1 32
3 1 0 1 23
3 1 1 1 19
3 1 2 1 34
3 1 3 1 49
3 2 0 1 48
3 2 1 1 62
3 2 2 1 59
3 2 3 1 52
3 3 0 1 7
3 3 1 1 28
3 3 2 1 40
3 3 3 1 29
