recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 60
0 0 1 1 56
0 0 2 1 62
0 0 3 1 58
0 1 0 1 13
0 1 1 1 9
0 1 2 1 15
0 1 3 1 31
0 2 0 1 12
0 2 1 1 8
0 2 2 1 14
0 2 3 1 30
0 3 0 1 44
0 3 1 1 40
0 3 2 1 46
0 3 3 1 42
1 0 0 1 1
1 0 1 1 17
1 0 2 1 21
1 0 3 1 5
1 1 0 1 35
1 1 1 1 34
1 1 2 1 37
1 1 3 1 49
1 2 0 1 39
1 2 1 1 38
1 2 2 1 36
1 2 3 1 33
1 3 0 1 3
1 3 1 1 2
1 3 2 1 6
1 3 3 1 7
2 0 0 1 4
2 0 1 1 0
2 0 2 1 16
2 0 3 1 20
2 1 0 1 50
2 1 1 1 51
2 1 2 1 53
2 1 3 1 48
2 2 0 1 54
2 2 1 1 55
2 2 2 1 52
2 2 3 1 32
2 3 0 1 18
2 3 1 1 19
2 3 2 1 23
2 3 3 1 22
3 0 0 1 61
3 0 1 1 57
3 0 2 1 63
3 0 3 1 59
3 1 0 1 29
3 1 1 1 25
3 1 2 1 11
3 1 3 1 27
3 2 0 1 28
3 2 1 1 24
3 2 2 1 10
3 2 3 1 26
3 3 0 1 45
3 3 1 1 41
3 3 2 1 47
3 3 3 1 43
