scan
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 31
0 0 2 1 32
0 0 3 1 63
0 1 0 1 7
0 1 1 1 24
0 1 2 1 39
0 1 3 1 56
0 2 0 1 8
0 2 1 1 23
0 2 2 1 40
0 2 3 1 55
0 3 0 1 15
0 3 1 1 16
0 3 2 1 47
0 3 3 1 48
1 0 0 1 1
1 0 1 1 30
1 0 2 1 33
1 0 3 1 62
1 1 0 1 6
1 1 1 1 25
1 1 2 1 38
1 1 3 1 57
1 2 0 1 9
1 2 1 1 22
1 2 2 1 41
1 2 3 1 54
1 3 0 1 14
1 3 1 1 17
1 3 2 1 46
1 3 3 1 49
2 0 0 1 2
2 0 1 1 29
2 0 2 1 34
2 0 3 1 61
2 1 0 1 5
2 1 1 1 26
2 1 2 1 37
2 1 3 1 58
2 2 0 1 10
2 2 1 1 21
2 2 2 1 42
2 2 3 1 53
2 3 0 1 13
2 3 1 1 18
2 3 2 1 45
2 3 3 1 50
3 0 0 1 3
3 0 1 1 28
3 0 2 1 35
3 0 3 1 60
3 1 0 1 4
3 1 1 1 27
3 1 2 1 36
3 1 3 1 59
3 2 0 1 11
3 2 1 1 20
3 2 2 1 43
3 2 3 1 52
3 3 0 1 12
3 3 1 1 19
3 3 2 1 44
3 3 3 1 51
