topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 3
0 0 2 1 51
0 0 3 1 15
0 1 0 1 16
0 1 1 1 35
0 1 2 1 19
0 1 3 1 63
0 2 0 1 33
0 2 1 1 34
0 2 2 1 39
0 2 3 1 43
0 3 0 1 49
0 3 1 1 54
0 3 2 1 50
0 3 3 1 55
1 0 0 1 1
1 0 1 1 6
1 0 2 1 7
1 0 3 1 11
1 1 0 1 17
1 1 1 1 22
1 1 2 1 23
1 1 3 1 27
1 2 0 1 18
1 2 1 1 2
1 2 2 1 42
1 2 3 1 62
1 3 0 1 48
1 3 1 1 38
1 3 2 1 58
1 3 3 1 59
2 0 0 1 5
2 0 1 1 9
2 0 2 1 10
2 0 3 1 14
2 1 0 1 21
2 1 1 1 25
2 1 2 1 26
2 1 3 1 30
2 2 0 1 37
2 2 1 1 41
2 2 2 1 45
2 2 3 1 46
2 3 0 1 32
2 3 1 1 53
2 3 2 1 57
2 3 3 1 61
3 0 0 1 4
3 0 1 1 8
3 0 2 1 13
3 0 3 1 31
3 1 0 1 20
3 1 1 1 24
3 1 2 1 29
3 1 3 1 12
3 2 0 1 36
3 2 1 1 40
3 2 2 1 28
3 2 3 1 47
3 3 0 1 52
3 3 1 1 56
3 3 2 1 44
3 3 3 1 60
