fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 26
0 0 1 1 9
0 0 2 1 25
0 0 3 1 53
0 1 0 1 28
0 1 1 1 38
0 1 2 1 18
0 1 3 1 59
0 2 0 1 44
0 2 1 1 43
0 2 2 1 32
0 2 3 1 63
0 3 0 1 12
0 3 1 1 23
0 3 2 1 19
0 3 3 1 50
1 0 0 1 30
1 0 1 1 10
1 0 2 1 4
1 0 3 1 54
1 1 0 1 24
1 1 1 1 6
1 1 2 1 17
1 1 3 1 55
1 2 0 1 45
1 2 1 1 47
1 2 2 1 1
1 2 3 1 56
1 3 0 1 8
1 3 1 1 39
1 3 2 1 35
1 3 3 1 49
2 0 0 1 29
2 0 1 1 14
2 0 2 1 15
2 0 3 1 57
2 1 0 1 41
2 1 1 1 36
2 1 2 1 33
2 1 3 1 62
2 2 0 1 21
2 2 1 1 27
2 2 2 1 2
2 2 3 1 52
2 3 0 1 42
2 3 1 1 11
2 3 2 1 16
2 3 3 1 51
3 0 0 1 13
3 0 1 1 46
3 0 2 1 7
3 0 3 1 58
3 1 0 1 40
3 1 1 1 5
3 1 2 1 34
3 1 3 1 61
3 2 0 1 22
3 2 1 1 31
3 2 2 1 0
3 2 3 1 60
3 3 0 1 37
3 3 1 1 20
3 3 2 1 3
3 3 3 1 48
