recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 63
0 0 1 1 46
0 0 2 1 1
0 0 3 1 58
0 1 0 1 39
0 1 1 1 44
0 1 2 1 8
0 1 3 1 41
0 2 0 1 59
0 2 1 1 53
0 2 2 1 7
0 2 3 1 12
0 3 0 1 23
0 3 1 1 26
0 3 2 1 43
0 3 3 1 20
1 0 0 1 15
1 0 1 1 47
1 0 2 1 17
1 0 3 1 38
1 1 0 1 52
1 1 1 1 61
1 1 2 1 22
1 1 3 1 18
1 2 0 1 24
1 2 1 1 54
1 2 2 1 10
1 2 3 1 5
1 3 0 1 50
1 3 1 1 33
1 3 2 1 4
1 3 3 1 35
2 0 0 1 45
2 0 1 1 31
2 0 2 1 2
2 0 3 1 49
2 1 0 1 27
2 1 1 1 21
2 1 2 1 28
2 1 3 1 11
2 2 0 1 60
2 2 1 1 30
2 2 2 1 37
2 2 3 1 40
2 3 0 1 48
2 3 1 1 9
2 3 2 1 51
2 3 3 1 0
3 0 0 1 29
3 0 1 1 62
3 0 2 1 16
3 0 3 1 55
3 1 0 1 42
3 1 1 1 56
3 1 2 1 19
3 1 3 1 34
3 2 0 1 6
3 2 1 1 57
3 2 2 1 14
3 2 3 1 32
3 3 0 1 13
3 3 1 1 25
3 3 2 1 3
3 3 3 1 36
