gray
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 3
0 0 2 1 28
0 0 3 1 31
0 1 0 1 7
0 1 1 1 4
0 1 2 1 27
0 1 3 1 24
0 2 0 1 56
0 2 1 1 59
0 2 2 1 36
0 2 3 1 39
0 3 0 1 63
0 3 1 1 60
0 3 2 1 35
0 3 3 1 32
1 0 0 1 1
1 0 1 1 2
1 0 2 1 29
1 0 3 1 30
1 1 0 1 6
1 1 1 1 5
1 1 2 1 26
1 1 3 1 25
1 2 0 1 57
1 2 1 1 58
1 2 2 1 37
1 2 3 1 38
1 3 0 1 62
1 3 1 1 61
1 3 2 1 34
1 3 3 1 33
2 0 0 1 14
2 0 1 1 13
2 0 2 1 18
2 0 3 1 17
2 1 0 1 9
2 1 1 1 10
2 1 2 1 21
2 1 3 1 22
2 2 0 1 54
2 2 1 1 53
2 2 2 1 42
2 2 3 1 41
2 3 0 1 49
2 3 1 1 50
2 3 2 1 45
2 3 3 1 46
3 0 0 1 15
3 0 1 1 12
3 0 2 1 19
3 0 3 1 16
3 1 0 1 8
3 1 1 1 11
3 1 2 1 20
3 1 3 1 23
3 2 0 1 55
3 2 1 1 52
3 2 2 1 43
3 2 3 1 40
3 3 0 1 48
3 3 1 1 51
3 3 2 1 44
3 3 3 1 47
