greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 41
0 0 1 1 9
0 0 2 1 25
0 0 3 1 15
0 1 0 1 58
0 1 1 1 10
0 1 2 1 45
0 1 3 1 3
0 2 0 1 21
0 2 1 1 29
0 2 2 1 27
0 2 3 1 61
0 3 0 1 5
0 3 1 1 17
0 3 2 1 19
0 3 3 1 12
1 0 0 1 26
1 0 1 1 6
1 0 2 1 8
1 0 3 1 62
1 1 0 1 38
1 1 1 1 54
1 1 2 1 23
1 1 3 1 0
1 2 0 1 34
1 2 1 1 44
1 2 2 1 31
1 2 3 1 4
1 3 0 1 39
1 3 1 1 43
1 3 2 1 11
1 3 3 1 63
2 0 0 1 30
2 0 1 1 40
2 0 2 1 52
2 0 3 1 56
2 1 0 1 37
2 1 1 1 24
2 1 2 1 13
2 1 3 1 35
2 2 0 1 33
2 2 1 1 28
2 2 2 1 50
2 2 3 1 7
2 3 0 1 14
2 3 1 1 59
2 3 2 1 55
2 3 3 1 48
3 0 0 1 42
3 0 1 1 57
3 0 2 1 20
3 0 3 1 47
3 1 0 1 46
3 1 1 1 53
3 1 2 1 16
3 1 3 1 49
3 2 0 1 22
3 2 1 1 32
3 2 2 1 2
3 2 3 1 51
3 3 0 1 18
3 3 1 1 36
3 3 2 1 1
3 3 3 1 60
