greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 9
0 0 1 1 14
0 0 2 1 0
0 0 3 1 48
0 1 0 1 24
0 1 1 1 29
0 1 2 1 16
0 1 3 1 60
0 2 0 1 20
0 2 1 1 44
0 2 2 1 17
0 2 3 1 55
0 3 0 1 6
0 3 1 1 46
0 3 2 1 7
0 3 3 1 2
1 0 0 1 26
1 0 1 1 10
1 0 2 1 62
1 0 3 1 51
1 1 0 1 41
1 1 1 1 25
1 1 2 1 1
1 1 3 1 57
1 2 0 1 21
1 2 1 1 40
1 2 2 1 18
1 2 3 1 59
1 3 0 1 22
1 3 1 1 42
1 3 2 1 11
1 3 3 1 3
2 0 0 1 30
2 0 1 1 5
2 0 2 1 58
2 0 3 1 50
2 1 0 1 45
2 1 1 1 8
2 1 2 1 19
2 1 3 1 61
2 2 0 1 43
2 2 1 1 37
2 2 2 1 39
2 2 3 1 35
2 3 0 1 31
2 3 1 1 38
2 3 2 1 15
2 3 3 1 34
3 0 0 1 13
3 0 1 1 4
3 0 2 1 54
3 0 3 1 49
3 1 0 1 28
3 1 1 1 12
3 1 2 1 53
3 1 3 1 52
3 2 0 1 36
3 2 1 1 23
3 2 2 1 33
3 2 3 1 32
3 3 0 1 47
3 3 1 1 27
3 3 2 1 56
3 3 3 1 63
