pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 51
0 0 1 1 48
0 0 2 1 11
0 0 3 1 31
0 1 0 1 35
0 1 1 1 39
0 1 2 1 27
0 1 3 1 47
0 2 0 1 60
0 2 1 1 55
0 2 2 1 43
0 2 3 1 59
0 3 0 1 32
0 3 1 1 52
0 3 2 1 56
0 3 3 1 63
1 0 0 1 0
1 0 1 1 3
1 0 2 1 26
1 0 3 1 30
1 1 0 1 19
1 1 1 1 23
1 1 2 1 7
1 1 3 1 15
1 2 0 1 4
1 2 1 1 8
1 2 2 1 29
1 2 3 1 13
1 3 0 1 16
1 3 1 1 12
1 3 2 1 28
1 3 3 1 44
2 0 0 1 1
2 0 1 1 2
2 0 2 1 10
2 0 3 1 14
2 1 0 1 18
2 1 1 1 22
2 1 2 1 6
2 1 3 1 5
2 2 0 1 17
2 2 1 1 21
2 2 2 1 25
2 2 3 1 9
2 3 0 1 20
2 3 1 1 36
2 3 2 1 40
2 3 3 1 24
3 0 0 1 50
3 0 1 1 54
3 0 2 1 46
3 0 3 1 62
3 1 0 1 34
3 1 1 1 38
3 1 2 1 42
3 1 3 1 58
3 2 0 1 33
3 2 1 1 37
3 2 2 1 41
3 2 3 1 45
3 3 0 1 49
3 3 1 1 53
3 3 2 1 57
3 3 3 1 61
