topology_aware
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 0
0 0 1 1 1
0 0 2 1 53
0 0 3 1 52
0 1 0 1 29
0 1 1 1 6
0 1 2 1 44
0 1 3 1 62
0 2 0 1 13
0 2 1 1 3
0 2 2 1 35
0 2 3 1 59
0 3 0 1 39
0 3 1 1 11
0 3 2 1 38
0 3 3 1 55
1 0 0 1 16
1 0 1 1 17
1 0 2 1 33
1 0 3 1 32
1 1 0 1 28
1 1 1 1 22
1 1 2 1 45
1 1 3 1 57
1 2 0 1 7
1 2 1 1 19
1 2 2 1 46
1 2 3 1 58
1 3 0 1 23
1 3 1 1 27
1 3 2 1 43
1 3 3 1 54
2 0 0 1 21
2 0 1 1 20
2 0 2 1 36
2 0 3 1 49
2 1 0 1 24
2 1 1 1 25
2 1 2 1 41
2 1 3 1 40
2 2 0 1 26
2 2 1 1 37
2 2 2 1 31
2 2 3 1 42
2 3 0 1 18
2 3 1 1 30
2 3 2 1 50
2 3 3 1 34
3 0 0 1 5
3 0 1 1 4
3 0 2 1 48
3 0 3 1 60
3 1 0 1 8
3 1 1 1 9
3 1 2 1 56
3 1 3 1 61
3 2 0 1 10
3 2 1 1 12
3 2 2 1 15
3 2 3 1 47
3 3 0 1 2
3 3 1 1 14
3 3 2 1 63
3 3 3 1 51
