fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 26
0 0 1 1 9
0 0 2 1 25
0 0 3 1 22
0 1 0 1 12
0 1 1 1 41
0 1 2 1 14
0 1 3 1 40
0 2 0 1 37
0 2 1 1 32
0 2 2 1 24
0 2 3 1 3
0 3 0 1 35
0 3 1 1 49
0 3 2 1 56
0 3 3 1 53
1 0 0 1 13
1 0 1 1 30
1 0 2 1 10
1 0 3 1 44
1 1 0 1 38
1 1 1 1 21
1 1 2 1 28
1 1 3 1 23
1 2 0 1 17
1 2 1 1 27
1 2 2 1 18
1 2 3 1 19
1 3 0 1 52
1 3 1 1 55
1 3 2 1 48
1 3 3 1 61
2 0 0 1 45
2 0 1 1 8
2 0 2 1 29
2 0 3 1 6
2 1 0 1 5
2 1 1 1 46
2 1 2 1 4
2 1 3 1 39
2 2 0 1 11
2 2 1 1 36
2 2 2 1 47
2 2 3 1 1
2 3 0 1 34
2 3 1 1 0
2 3 2 1 58
2 3 3 1 59
3 0 0 1 7
3 0 1 1 42
3 0 2 1 54
3 0 3 1 2
3 1 0 1 15
3 1 1 1 20
3 1 2 1 43
3 1 3 1 62
3 2 0 1 33
3 2 1 1 31
3 2 2 1 16
3 2 3 1 57
3 3 0 1 50
3 3 1 1 51
3 3 2 1 63
3 3 3 1 60
