recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 2
0 0 2 1 15
0 0 3 1 29
0 1 0 1 41
0 1 1 1 16
0 1 2 1 62
0 1 3 1 44
0 2 0 1 38
0 2 1 1 49
0 2 2 1 61
0 2 3 1 31
0 3 0 1 18
0 3 1 1 11
0 3 2 1 27
0 3 3 1 39
1 0 0 1 1
1 0 1 1 55
1 0 2 1 63
1 0 3 1 45
1 1 0 1 58
1 1 1 1 34
1 1 2 1 46
1 1 3 1 56
1 2 0 1 22
1 2 1 1 8
1 2 2 1 21
1 2 3 1 47
1 3 0 1 28
1 3 1 1 19
1 3 2 1 42
1 3 3 1 52
2 0 0 1 12
2 0 1 1 10
2 0 2 1 53
2 0 3 1 24
2 1 0 1 37
2 1 1 1 14
2 1 2 1 60
2 1 3 1 6
2 2 0 1 35
2 2 1 1 43
2 2 2 1 33
2 2 3 1 23
2 3 0 1 51
2 3 1 1 0
2 3 2 1 48
2 3 3 1 9
3 0 0 1 32
3 0 1 1 7
3 0 2 1 57
3 0 3 1 59
3 1 0 1 36
3 1 1 1 20
3 1 2 1 25
3 1 3 1 26
3 2 0 1 5
3 2 1 1 40
3 2 2 1 54
3 2 3 1 30
3 3 0 1 4
3 3 1 1 3
3 3 2 1 50
3 3 3 1 13
