bokhari
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 51
0 0 1 1 39
0 0 2 1 14
0 0 3 1 57
0 1 0 1 6
0 1 1 1 42
0 1 2 1 0
0 1 3 1 30
0 2 0 1 62
0 2 1 1 9
0 2 2 1 41
0 2 3 1 25
0 3 0 1 12
0 3 1 1 1
0 3 2 1 20
0 3 3 1 5
1 0 0 1 35
1 0 1 1 37
1 0 2 1 22
1 0 3 1 31
1 1 0 1 19
1 1 1 1 17
1 1 2 1 8
1 1 3 1 29
1 2 0 1 24
1 2 1 1 38
1 2 2 1 34
1 2 3 1 49
1 3 0 1 3
1 3 1 1 59
1 3 2 1 28
1 3 3 1 32
2 0 0 1 46
2 0 1 1 13
2 0 2 1 26
2 0 3 1 27
2 1 0 1 36
2 1 1 1 47
2 1 2 1 4
2 1 3 1 54
2 2 0 1 63
2 2 1 1 53
2 2 2 1 48
2 2 3 1 43
2 3 0 1 44
2 3 1 1 33
2 3 2 1 16
2 3 3 1 15
3 0 0 1 21
3 0 1 1 50
3 0 2 1 56
3 0 3 1 2
3 1 0 1 52
3 1 1 1 58
3 1 2 1 45
3 1 3 1 55
3 2 0 1 11
3 2 1 1 10
3 2 2 1 60
3 2 3 1 23
3 3 0 1 7
3 3 1 1 61
3 3 2 1 40
3 3 3 1 18
