greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 14
0 0 1 1 30
0 0 2 1 46
0 0 3 1 2
0 1 0 1 13
0 1 1 1 29
0 1 2 1 45
0 1 3 1 17
0 2 0 1 12
0 2 1 1 28
0 2 2 1 44
0 2 3 1 16
0 3 0 1 48
0 3 1 1 60
0 3 2 1 49
0 3 3 1 0
1 0 0 1 10
1 0 1 1 26
1 0 2 1 22
1 0 3 1 6
1 1 0 1 9
1 1 1 1 25
1 1 2 1 21
1 1 3 1 18
1 2 0 1 8
1 2 1 1 24
1 2 2 1 5
1 2 3 1 4
1 3 0 1 51
1 3 1 1 61
1 3 2 1 50
1 3 3 1 1
2 0 0 1 27
2 0 1 1 42
2 0 2 1 38
2 0 3 1 23
2 1 0 1 11
2 1 1 1 41
2 1 2 1 37
2 1 3 1 7
2 2 0 1 59
2 2 1 1 40
2 2 2 1 20
2 2 3 1 36
2 3 0 1 56
2 3 1 1 62
2 3 2 1 3
2 3 3 1 19
3 0 0 1 43
3 0 1 1 31
3 0 2 1 47
3 0 3 1 39
3 1 0 1 15
3 1 1 1 53
3 1 2 1 33
3 1 3 1 34
3 2 0 1 58
3 2 1 1 57
3 2 2 1 54
3 2 3 1 32
3 3 0 1 52
3 3 1 1 63
3 3 2 1 55
3 3 3 1 35
