fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 26
0 0 1 1 9
0 0 2 1 25
0 0 3 1 27
0 1 0 1 56
0 1 1 1 51
0 1 2 1 18
0 1 3 1 53
0 2 0 1 63
0 2 1 1 48
0 2 2 1 60
0 2 3 1 61
0 3 0 1 16
0 3 1 1 43
0 3 2 1 23
0 3 3 1 49
1 0 0 1 13
1 0 1 1 30
1 0 2 1 10
1 0 3 1 36
1 1 0 1 38
1 1 1 1 19
1 1 2 1 28
1 1 3 1 3
1 2 0 1 33
1 2 1 1 31
1 2 2 1 35
1 2 3 1 57
1 3 0 1 15
1 3 1 1 20
1 3 2 1 52
1 3 3 1 32
2 0 0 1 45
2 0 1 1 8
2 0 2 1 29
2 0 3 1 1
2 1 0 1 7
2 1 1 1 42
2 1 2 1 34
2 1 3 1 54
2 2 0 1 55
2 2 1 1 5
2 2 2 1 0
2 2 3 1 58
2 3 0 1 4
2 3 1 1 46
2 3 2 1 21
2 3 3 1 47
3 0 0 1 12
3 0 1 1 41
3 0 2 1 14
3 0 3 1 24
3 1 0 1 37
3 1 1 1 50
3 1 2 1 40
3 1 3 1 59
3 2 0 1 62
3 2 1 1 17
3 2 2 1 6
3 2 3 1 2
3 3 0 1 39
3 3 1 1 11
3 3 2 1 44
3 3 3 1 22
