recursive_bipartitioning
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 1
0 0 2 1 7
0 0 3 1 12
0 1 0 1 28
0 1 1 1 8
0 1 2 1 51
0 1 3 1 0
0 2 0 1 18
0 2 1 1 49
0 2 2 1 35
0 2 3 1 43
0 3 0 1 2
0 3 1 1 55
0 3 2 1 14
0 3 3 1 37
1 0 0 1 54
1 0 1 1 50
1 0 2 1 33
1 0 3 1 48
1 1 0 1 46
1 1 1 1 63
1 1 2 1 27
1 1 3 1 39
1 2 0 1 56
1 2 1 1 45
1 2 2 1 61
1 2 3 1 31
1 3 0 1 24
1 3 1 1 53
1 3 2 1 60
1 3 3 1 25
2 0 0 1 9
2 0 1 1 30
2 0 2 1 13
2 0 3 1 23
2 1 0 1 15
2 1 1 1 62
2 1 2 1 42
2 1 3 1 52
2 2 0 1 29
2 2 1 1 44
2 2 2 1 21
2 2 3 1 47
2 3 0 1 59
2 3 1 1 57
2 3 2 1 26
2 3 3 1 6
3 0 0 1 41
3 0 1 1 58
3 0 2 1 32
3 0 3 1 10
3 1 0 1 19
3 1 1 1 22
3 1 2 1 4
3 1 3 1 3
3 2 0 1 11
3 2 1 1 38
3 2 2 1 5
3 2 3 1 40
3 3 0 1 16
3 3 1 1 34
3 3 2 1 20
3 3 3 1 36
