greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 41
0 0 1 1 9
0 0 2 1 25
0 0 3 1 62
0 1 0 1 58
0 1 1 1 10
0 1 2 1 20
0 1 3 1 0
0 2 0 1 21
0 2 1 1 29
0 2 2 1 50
0 2 3 1 51
0 3 0 1 5
0 3 1 1 11
0 3 2 1 55
0 3 3 1 15
1 0 0 1 26
1 0 1 1 57
1 0 2 1 8
1 0 3 1 56
1 1 0 1 38
1 1 1 1 53
1 1 2 1 52
1 1 3 1 35
1 2 0 1 34
1 2 1 1 32
1 2 2 1 31
1 2 3 1 61
1 3 0 1 39
1 3 1 1 19
1 3 2 1 1
1 3 3 1 48
2 0 0 1 30
2 0 1 1 40
2 0 2 1 59
2 0 3 1 47
2 1 0 1 37
2 1 1 1 17
2 1 2 1 43
2 1 3 1 7
2 2 0 1 33
2 2 1 1 36
2 2 2 1 27
2 2 3 1 4
2 3 0 1 14
2 3 1 1 6
2 3 2 1 2
2 3 3 1 63
3 0 0 1 42
3 0 1 1 24
3 0 2 1 45
3 0 3 1 49
3 1 0 1 46
3 1 1 1 54
3 1 2 1 16
3 1 3 1 3
3 2 0 1 22
3 2 1 1 44
3 2 2 1 13
3 2 3 1 60
3 3 0 1 18
3 3 1 1 28
3 3 2 1 23
3 3 3 1 12
