pacmap
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 19
0 0 1 1 3
0 0 2 1 16
0 0 3 1 32
0 1 0 1 23
0 1 1 1 7
0 1 2 1 51
0 1 3 1 0
0 2 0 1 39
0 2 1 1 35
0 2 2 1 8
0 2 3 1 12
0 3 0 1 48
0 3 1 1 60
0 3 2 1 56
0 3 3 1 52
1 0 0 1 18
1 0 1 1 2
1 0 2 1 1
1 0 3 1 4
1 1 0 1 22
1 1 1 1 6
1 1 2 1 55
1 1 3 1 44
1 2 0 1 27
1 2 1 1 11
1 2 2 1 15
1 2 3 1 28
1 3 0 1 43
1 3 1 1 47
1 3 2 1 59
1 3 3 1 63
2 0 0 1 38
2 0 1 1 34
2 0 2 1 17
2 0 3 1 20
2 1 0 1 26
2 1 1 1 10
2 1 2 1 54
2 1 3 1 50
2 2 0 1 42
2 2 1 1 30
2 2 2 1 14
2 2 3 1 24
2 3 0 1 46
2 3 1 1 31
2 3 2 1 58
2 3 3 1 62
3 0 0 1 37
3 0 1 1 5
3 0 2 1 33
3 0 3 1 36
3 1 0 1 21
3 1 1 1 25
3 1 2 1 53
3 1 3 1 49
3 2 0 1 41
3 2 1 1 9
3 2 2 1 13
3 2 3 1 40
3 3 0 1 45
3 3 1 1 29
3 3 2 1 57
3 3 3 1 61
